XMEAS(1),XMEAS(2),XMEAS(3),XMEAS(4),XMEAS(5),XMEAS(6),XMEAS(7),XMEAS(8),XMEAS(9),XMEAS(10),XMEAS(11),XMEAS(12),XMEAS(13),XMEAS(14),XMEAS(15),XMEAS(16),XMEAS(17),XMEAS(18),XMEAS(19),XMEAS(20),XMEAS(21),XMEAS(22),XMEAS(23),XMEAS(24),XMEAS(25),XMEAS(26),XMEAS(27),XMEAS(28),XMEAS(29),XMEAS(30),XMEAS(31),XMEAS(32),XMEAS(33),XMEAS(34),XMEAS(35),XMEAS(36),XMEAS(37),XMEAS(38),XMEAS(39),XMEAS(40),XMEAS(41),XMV(1),XMV(2),XMV(3),XMV(4),XMV(5),XMV(6),XMV(7),XMV(8),XMV(9),XMV(10),XMV(11),label
0.80605,3681.8,4434.7,8.7359,26.935,42.031,2696.1,75.341,120.39,0.32048,80.157,49.504,2624.4,25.086,50.682,3096.3,23.207,67.574,258.12,338.68,94.723,77.033,31.614,9.0356,26.335,6.8082,18.496,1.7329,32.623,13.696,23.847,1.1371,19.46,2.3177,4.9004,2.2756,0.017563,0.84946,0.10354,54.287,43.593,62.801,53.642,78.88,55.792,21.36,38.258,36.642,48.112,56.499,40.103,17.512,0
0.72279,3664.3,4558.7,8.8228,26.798,42.027,2709.5,75.195,120.36,0.31799,80.006,50.394,2638.4,23.982,48.85,3108.0,22.563,67.034,243.0,339.57,94.643,76.854,31.502,9.0939,26.638,7.0506,18.643,1.6752,32.441,13.859,24.175,1.172,18.463,2.2858,4.7476,2.2617,0.032118,0.81106,0.11262,54.103,43.765,63.361,54.828,70.905,57.941,21.976,37.804,39.26,43.873,52.416,40.512,19.037,0
0.65579,3692.8,4552.3,9.037,26.7,42.356,2726.0,73.292,120.36,0.33061,79.6,51.327,2656.2,25.003,47.532,3113.0,23.069,70.165,334.68,351.1,94.253,77.638,32.714,8.8218,26.464,6.5283,18.395,1.715,34.422,13.792,23.832,1.0421,17.644,2.3043,4.8003,2.3224,0.0063348,0.72032,0.099201,53.383,44.923,63.518,53.578,64.566,61.217,24.654,38.407,42.004,40.822,78.35,41.289,17.603,0
0.74827,3707.7,4499.5,8.8877,27.138,42.158,2725.5,75.417,120.41,0.30542,80.033,49.228,2654.4,21.945,50.886,3118.0,23.384,67.694,266.15,344.07,94.385,77.59,32.467,8.7687,26.886,6.8347,18.522,1.6716,33.192,13.673,24.438,1.2323,18.332,2.3617,4.709,2.2305,0.015951,0.80052,0.10619,54.749,44.41,62.852,54.54,73.636,58.268,23.357,36.733,35.828,48.585,58.212,41.977,16.92,0
0.80525,3666.0,4459.9,8.7417,27.004,41.794,2700.5,76.063,120.4,0.30867,80.289,49.542,2629.4,26.06,49.075,3100.5,23.213,67.127,250.21,338.52,94.753,77.096,31.921,8.904,25.959,6.9796,18.886,1.6777,31.973,13.768,24.113,1.3702,18.531,2.2854,4.844,2.4413,0.034626,0.85126,0.10916,54.101,43.222,63.278,53.729,79.607,55.471,21.651,37.062,36.752,44.393,53.802,41.012,17.544,0
0.6435,3688.0,4543.3,9.3125,26.863,43.018,2742.4,72.968,120.43,0.36729,79.397,49.012,2674.3,25.398,51.064,3128.1,24.352,71.971,390.43,356.56,93.917,78.161,33.493,9.0886,26.473,6.6915,17.723,1.6798,34.873,13.581,23.947,1.0258,17.725,2.3033,4.7137,2.2807,0.015359,0.67983,0.099586,53.25,45.177,64.119,54.887,63.544,62.111,25.909,41.622,35.193,48.996,98.681,43.274,14.677,0
0.99185,3601.6,4498.4,8.2553,26.895,42.153,2711.2,77.302,120.38,0.30101,78.725,49.326,2636.5,24.279,51.366,3120.0,23.644,69.046,336.02,328.31,95.23,75.888,30.48,8.9417,27.315,6.8744,19.497,1.578,29.977,13.953,26.888,1.4167,19.192,2.2302,4.4996,2.101,0.030621,1.0064,0.10861,53.938,43.818,62.916,53.317,97.736,52.404,19.873,36.24,36.115,49.695,78.414,39.609,17.743,0
0.75518,3667.9,4389.5,8.9709,27.082,42.075,2683.7,73.694,120.42,0.34962,80.952,48.398,2612.4,25.252,50.658,3081.2,23.109,70.259,327.88,341.63,94.414,77.879,32.344,8.8136,25.638,6.8922,19.191,1.7189,33.55,13.795,22.394,1.2983,19.454,2.4041,5.0563,2.3657,0.018004,0.87394,0.1027,52.894,43.98,63.163,51.962,73.808,61.297,21.646,41.461,33.385,48.057,78.167,41.714,17.71,0
0.72653,3675.6,4536.5,8.9539,26.485,42.564,2709.7,74.876,120.38,0.3124,80.055,50.399,2638.6,26.3,49.811,3102.8,23.413,68.019,273.55,344.51,94.543,77.404,32.592,8.9881,26.015,6.8513,18.453,1.7357,33.118,13.804,24.32,1.4656,18.447,2.3212,4.8849,2.2867,0.028828,0.81206,0.10766,53.253,43.246,62.501,53.401,71.02,55.828,22.95,37.163,39.274,46.096,60.365,40.612,16.886,0
0.77014,3706.0,4466.6,8.8172,27.267,42.299,2693.8,74.98,120.4,0.32537,80.5,50.984,2621.7,24.947,50.857,3094.2,23.222,67.693,261.63,337.89,94.552,77.655,31.798,8.9911,26.184,6.9205,19.236,1.7126,32.524,13.905,23.537,1.411,18.992,2.3464,4.9378,2.3133,0.029817,0.86679,0.10734,54.038,44.638,63.442,52.621,76.165,57.438,21.483,39.44,40.995,48.517,56.803,40.417,17.385,0
0.99076,3595.5,4392.5,8.2064,26.984,41.972,2699.6,76.719,120.38,0.29505,79.662,49.564,2625.0,25.97,49.358,3108.8,23.801,70.028,351.32,327.27,95.255,76.441,30.519,8.8057,26.987,6.8884,20.164,1.6839,30.563,13.945,25.938,1.3568,19.913,2.2191,4.5347,2.2137,0.030621,1.0064,0.10861,53.938,43.818,61.865,53.462,97.826,55.988,19.163,36.222,36.817,45.049,83.938,39.725,17.282,0
0.75426,3656.7,4536.1,8.8068,26.724,42.227,2700.9,74.242,120.39,0.28932,80.168,49.948,2629.9,25.881,49.71,3097.3,23.434,68.459,285.16,342.32,94.452,76.858,32.346,8.814,26.292,6.9017,18.642,1.719,33.82,13.64,23.421,1.4039,18.986,2.333,4.9155,2.3196,0.0087828,0.83471,0.086003,53.634,43.482,63.661,53.348,74.398,56.728,22.327,34.24,37.948,45.863,63.912,40.938,16.964,0
0.83126,3677.4,4475.0,8.7531,27.178,42.36,2696.1,74.122,120.42,0.34026,80.48,48.88,2624.0,26.09,48.689,3097.8,22.069,67.824,264.93,338.54,94.674,77.092,31.833,8.904,25.915,6.8232,19.269,1.702,32.849,13.966,24.226,1.3695,19.039,2.3264,4.8933,2.3011,0.0090433,0.86755,0.10154,54.454,44.047,63.625,53.865,81.577,57.453,21.26,41.537,34.805,43.5,58.188,41.733,20.164,0
0.72489,3667.0,4537.8,8.8552,27.186,41.875,2702.1,75.492,120.39,0.33339,79.94,50.268,2631.6,25.783,51.302,3096.4,23.205,68.031,274.34,342.7,94.656,77.378,32.245,8.7933,26.108,7.0383,18.516,1.7048,33.729,13.754,23.44,1.2503,18.251,2.3337,4.8331,2.3639,0.029101,0.80611,0.097718,53.359,44.204,62.578,54.987,71.039,56.51,22.854,40.173,38.889,49.546,60.421,40.909,17.422,0
0.69207,3664.3,4553.6,8.7507,26.714,42.351,2720.8,75.8,120.42,0.30568,79.613,51.637,2650.7,24.033,51.64,3112.3,22.493,67.6,267.54,344.95,94.609,77.515,32.254,8.8575,27.233,6.8858,18.561,1.7276,32.959,13.781,24.715,1.2104,17.919,2.3203,4.7472,2.2429,0.037002,0.78272,0.11087,54.115,44.06,63.029,54.645,67.691,56.449,23.359,36.222,42.918,50.329,57.704,41.263,19.133,0
0.79769,3664.7,4484.7,8.8069,26.348,42.766,2710.7,75.576,120.43,0.34052,80.285,49.598,2639.6,25.865,49.717,3108.2,22.909,68.005,274.56,342.37,94.566,77.767,32.47,8.947,26.054,6.7829,18.681,1.744,32.899,13.95,23.785,1.449,18.423,2.3461,4.7821,2.3503,0.0049461,0.81441,0.098284,53.504,44.818,63.546,53.777,78.791,60.105,21.99,40.398,36.916,45.88,60.661,42.336,18.108,0
0.76144,3673.7,4544.4,8.8142,27.136,42.716,2716.1,75.4,120.38,0.29665,80.093,49.392,2645.8,23.69,48.686,3112.8,22.497,67.137,249.88,341.16,94.497,77.183,32.122,8.853,26.993,7.1678,18.791,1.7166,32.933,13.693,24.643,1.2057,18.054,2.3543,4.7562,2.2682,0.027559,0.83722,0.10109,53.985,43.823,63.955,54.301,75.043,55.83,22.662,34.979,36.312,43.494,53.443,40.419,19.144,0
0.70668,3647.4,4521.7,8.6895,27.139,42.121,2709.7,76.079,120.4,0.30399,80.211,50.924,2638.6,25.277,48.835,3106.7,22.788,67.064,250.3,339.93,94.955,77.249,32.033,8.8185,26.067,6.9487,18.291,1.6882,32.536,13.745,24.393,1.2329,18.574,2.3233,4.8337,2.2582,0.026077,0.82942,0.11266,52.593,44.007,62.717,54.351,69.864,57.107,22.303,36.836,40.82,43.837,53.36,41.307,18.479,0
